source,source_type,title,description,url,published,deadline,amount,sectors,relevance_score,discovered,is_new
Global Fund Updates,foundation,African Ambassadors Unite in Geneva to Call for Strong Global Fund Replenishment,"African Ambassadors and Permanent Representatives of the Africa Group met yesterday at the Global Health Campus in Geneva, calling on the international community to rally behind the Global Fund’s Eighth Replenishment.",https://www.theglobalfund.org/en/updates/2025/2025-09-11-african-ambassadors-unite-geneva-call-strong-global-fund-replenishment/,"Thu, 11 Sep 2025 12:00:00 GMT",,,['health'],3,2026-01-26 10:26,True
ReliefWeb - Tanzania Updates,aggregator,Safeguarding Coordinator,"<div class=""tag country"">Country: Lebanon</div>
                                      <div class=""tag source"">Organization: ABAAD – Resource Center for Gender Equality</div>
                                                                                        <div class=""date closing"">Closing date: 6 Feb 2026</div>
                                        <p><strong>JOB TITLE:</strong> Safeguarding Coordinator</p>
<p><strong>LOCATION:</strong> Beirut based with regular travel to Mount Lebanon, ",https://reliefweb.int/job/4195438/safeguarding-coordinator,"Sun, 25 Jan 2026 21:45:01 +0000","february 06, 2026",,"['education', 'governance', 'climate']",3,2026-01-26 10:24,True
ReliefWeb - Tanzania Updates,aggregator,Cell Supply Referent,"<div class=""tag country"">Country: Switzerland</div>
                                      <div class=""tag source"">Organization: Médecins Sans Frontières en Suisse</div>
                                                                      <div class=""date closing"">Closing date: 15 Feb 2026</div>
                                        <p><strong>Join MSF OCG as a Cell Supply Referent!</strong></p>
<p><strong>We are looking for passionate candidates ready to contribute to our humanitarian mission",https://reliefweb.int/job/4195422/cell-supply-referent,"Sun, 25 Jan 2026 21:38:05 +0000",,,"['education', 'health', 'climate']",3,2026-01-26 10:24,True
ReliefWeb - Tanzania Updates,aggregator,MHPSS Officer,"<div class=""tag country"">Country: Switzerland</div>
                                      <div class=""tag source"">Organization: Danish Red Cross</div>
                                                                                        <div class=""date closing"">Closing date: 8 Feb 2026</div>
                                        <p><strong>Danish Red Cross (DRC) is looking for an experienced Mental Health and Psychosocial support (MHPSS) profile to be seconded to the IFRC headquarters in Ge",https://reliefweb.int/job/4195378/mhpss-officer,"Sun, 25 Jan 2026 21:28:23 +0000",,,"['education', 'health', 'climate']",3,2026-01-26 10:24,True
ReliefWeb - Tanzania Updates,aggregator,"Monitoring, Evaluation, Research and Learning Lead","<div class=""tag country"">Country: Philippines</div>
                                      <div class=""tag source"">Organization: DT Global</div>
                                                                                        <div class=""date closing"">Closing date: 13 Feb 2026</div>
                                        <p><strong>Program Background</strong></p>
<p>The Education Quality for Inclusive Prosperity (EQUIP) is a new Australian-funded program, implemented in the Philippines. E",https://reliefweb.int/job/4195665/monitoring-evaluation-research-and-learning-lead,"Mon, 26 Jan 2026 00:58:36 +0000",,,"['education', 'governance', 'climate']",3,2026-01-26 10:24,True
African Development Bank,multilateral,African Development Bank Group approves $76.3 million in additional financing to advance transport connectivity in the Horn of Africa,"<img src=""https://www.afdb.org/en/img src="" />
	The Board of Directors of the African Development Bank Group has approved $76.37 million in additional financing for the Road Infrastructure Programme in Somalia, a key component of the Horn of Africa corridor project linking Somalia, Djibouti and Ethiopia.


	The new funding package comprises $49.16 million from the African Development Fund, the Bank Group's concessional lending window, and $27.21 million from the Transition Support Facility, whic",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-group-approves-763-million-additional-financing-advance-transport-connectivity-horn-africa-89565,"Thu, 11 Dec 2025 00:00:00 +0000",,$76,['health'],3,2026-01-26 10:28,True
African Development Bank,multilateral,The African Development Fund grants Guinea nearly $26 million in additional funding to develop an electricity interconnection with Mali,"<img src=""https://www.afdb.org/en/img src="" />
	The Board of Directors of the African Development Fund approved additional financing of $25.79 million for Guinea for the 225 kV Guinea-Mali electricity interconnection project.


	The financing, agreed in Abidjan on 10 December 2025, from the African Development Bank Group's concessional window includes a loan of approximately $22 million and a grant of $3.79 million to Guinea.


	The project will contribute to the socioeconomic development of Gui",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-grants-guinea-nearly-26-million-additional-funding-develop-electricity-interconnection-mali-89562,"Thu, 11 Dec 2025 00:00:00 +0000",,$26 million,"['education', 'health', 'water', 'governance']",3,2026-01-26 10:28,True
African Development Bank,multilateral,5 key questions about the African Development Fund,"<img src=""https://www.afdb.org/en/img src="" />
	The final meeting of the 17th replenishment of the African Development Fund (ADF-17), the African Development Bank Group’s concessional financing window, will take place on 15 and 16 December 2025 in London, United Kingdom.  


	During the meeting, development partners will announce their financial commitments to support 37 low-income African countries, at a time when official development assistance is facing mounting fiscal pressures.


	Here are ",https://www.afdb.org/en/news-and-events/press-releases/5-key-questions-about-african-development-fund-89771,"Tue, 16 Dec 2025 00:00:00 +0000",,$45 b,"['water', 'food_security', 'governance', 'climate']",3,2026-01-26 10:28,True
African Development Bank,multilateral,"African Development Fund mobilises a historic $11 billion, marking a new era of African ownership and investment-led development","<img src=""https://www.afdb.org/en/img src="" />
	The African Development Fund (ADF), the concessional financing arm of the African Development Bank Group, has secured a record $11 billion from 43 Partners for its 17th Replenishment (ADF-17), the largest in the Fund’s history, despite severe global fiscal constraints and declining aid budgets.


	The outcome represents a 23% increase over the previous replenishment and sends a clear signal of confidence in Africa’s development prospects, the Afric",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-mobilises-historic-11-billion-marking-new-era-african-ownership-and-investment-led-development-89755,"Tue, 16 Dec 2025 00:00:00 +0000",,$11 b,"['food_security', 'climate']",3,2026-01-26 10:28,True
ReliefWeb - Tanzania Updates,aggregator,Programme Manager for Supply Chain Integrity,"<div class=""tag country"">Country: Germany</div>
                                      <div class=""tag source"">Organization: Forest Stewardship Council</div>
                                                                      <div class=""date closing"">Closing date: 8 Feb 2026</div>
                                        <p>• Location: Bonn, Germany.</p>
<p>• Working Hours: Full time - 40 hours per week.</p>
<p>• Duration of Employment: Temporary contract – 2 years (extension possible, subject ",https://reliefweb.int/job/4195593/programme-manager-supply-chain-integrity,"Sat, 24 Jan 2026 21:42:26 +0000",,,"['education', 'water', 'climate']",3,2026-01-26 10:24,True
ReliefWeb - Tanzania Updates,aggregator,Consultancy: Data Collection Firm for SQ-LNS Baseline Assessment– Nothern Nigeria (Bauchi & Plateau),"<div class=""tag country"">Country: Nigeria</div>
                                      <div class=""tag source"">Organization: Evidence Action</div>
                                                                                        <div class=""date closing"">Closing date: 5 Feb 2026</div>
                                        <p>Evidence Action is a global non-profit organization dedicated to scaling evidence-based and cost-effective programs to reduce the burden of poverty. In Nigeria, Evide",https://reliefweb.int/job/4195628/consultancy-data-collection-firm-sq-lns-baseline-assessment-nothern-nigeria-bauchi-plateau,"Sun, 25 Jan 2026 21:06:35 +0000",,,"['education', 'health']",3,2026-01-26 10:24,True
WHO Africa,UN,"The Future of Health Service Delivery in the African Region: Proceedings from the Health Policy Laboratories on Primary Care, Hospitals, and Health Oversight in Africa","<span>Publications</span>

            <div class=""field field--name-field-cover field--type-image field--label-hidden field--item"">  <img alt="" The Future of Health Service Delivery in the African Region Health Policy Laboratories Report."" class=""img-responsive"" height=""267"" src=""https://www.afro.who.int/sites/default/files/2026-01/The%20Future%20of%20Health%20Service%20Delivery%20in%20the%20African%20Region%20Health%20Policy%20Laboratories%20Report.png"" width=""390"" />

</div>
      
<span><spa",https://www.afro.who.int/countries/south-sudan/publication/future-health-service-delivery-african-region-proceedings-health-policy-laboratories-primary-care,"Fri, 09 Jan 2026 09:11:28 +0000",,,"['health', 'governance']",3,2026-01-26 10:25,True
African Development Bank,multilateral,African Development Bank’s $21.9 Million Grant to Boost São Tomé and Príncipe&#039;s Blue Economy and Strengthen Food Security,"<img src=""https://www.afdb.org/en/img src="" />
	The African Development Bank Group's Board of Directors has approved a $22 million grant to finance the Blue Economy and Fisheries Infrastructure Rehabilitation and Maintenance Project in São Tomé and Príncipe, aaimed at unlocking the archipelago nation's vast maritime potential while addressing critical food security challenges.


	The financing package comprises funding from the Transition Support Facility (TSF) Prevention Window and the African ",https://www.afdb.org/en/news-and-events/press-releases/african-development-banks-219-million-grant-boost-sao-tome-and-principes-blue-economy-and-strengthen-food-security-89910,"Fri, 19 Dec 2025 00:00:00 +0000",,$21,"['education', 'health', 'agriculture', 'food_security', 'climate']",3,2026-01-26 10:28,True
African Development Bank,multilateral,"African Development Fund approves $21 million grant to boost Djibouti’s urban infrastructure, climate resilience and adaptation","<img src=""https://www.afdb.org/en/img src="" />
	The Board of the African Development Fund has approved a grant of $21 million to upgrade critical urban infrastructure and boost climate resilience.


	With funding sourced from the African Development Fund, the Bank Group’s concessional lending window, the first phase of the Djibouti Integrated Urban Infrastructure and Climate Change Adaptation Project, approved on 10 December, will rehabilitate seven kilometres of roads and drainage systems in Dj",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-21-million-grant-boost-djiboutis-urban-infrastructure-climate-resilience-and-adaptation-89608,"Fri, 12 Dec 2025 00:00:00 +0000",,$21 million,['climate'],3,2026-01-26 10:28,True
African Development Bank,multilateral,African Development Bank Group grants full debt relief to Somalia following HIPC completion,"<img src=""https://www.afdb.org/en/img src="" />
	The African Development Bank Group has approved additional debt relief for Somalia, clearing the way for full cancellation of all African Development Fund loans to the country covering the 2024-2039 period.


	The move, which follows successful completion of the Enhanced Heavily Indebted Poor Countries (HIPC) Initiative process, will reduce Somalia’s external debt by $17.68 million, freeing up vital fiscal space for development priorities.


	Launc",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-group-grants-full-debt-relief-somalia-following-hipc-completion-89238,"Wed, 03 Dec 2025 00:00:00 +0000",,$17,"['education', 'health', 'water', 'governance']",3,2026-01-26 10:28,True
UNESCO,UN,NEWS: First UNESCO-UNEVOC Global OER Grant Programme,"In November 2019, UNESCO Member States adopted a Recommendation on Open Educational Resources (OER)-  a key tool for the achievement of SDG4. As a follow-up to this recommendation, UNESCO-UNEVOC launched its First Global OER Grant Programme for the development of such resources for TVET on 3 December 2019.",https://unevoc.unesco.org/article/First+UNESCO-UNEVOC+Global+OER+Grant+Programme.html,"Wed, 04 Dec 2019 16:01:21 +0100",,,['education'],2,2026-01-26 10:24,True
UNESCO,UN,NEWS: Pakistani UNEVOC Centre calls for a reskilling revolution,"During the World Economic Forum Annual Meeting in Davos, Prof Dr Muhammad Mukhtar, Vice Chancellor of the National Skills University, Islamabad, urged TVET stakeholders to refine skills education policies and procedures within their countries to better align with the realities and requirements of the contemporary world.",https://www.technologytimes.pk/2020/01/27/prof-dr-muhammad-mukhtar-recognizes-reskilling-revolution-davos-2020/,"Wed, 11 Mar 2020 15:17:04 +0100",,,['education'],2,2026-01-26 10:24,True
WHO Africa,UN,South Sudan:WHO Voices from the Field 2026,"<span>Publications</span>

            <div class=""field field--name-field-cover field--type-image field--label-hidden field--item"">  <img alt=""South Sudan: WHO Voices from the Field"" class=""img-responsive"" height=""276"" src=""https://www.afro.who.int/sites/default/files/2026-01/WHO%20Voices%20from%20the%20field%202026.jpg"" width=""390"" />

</div>
      
<span><span>rutaremaraa@who.int</span></span>

<span><time datetime=""2026-01-26T06:43:51+01:00"" title=""Monday, 26 January, 2026 - 06:43"">Mon, 26/0",https://www.afro.who.int/countries/south-sudan/publication/south-sudanwho-voices-field-2026,"Mon, 26 Jan 2026 05:43:51 +0000",,,"['health', 'water']",2,2026-01-26 10:25,True
WHO Africa,UN,South Sudan: Knowledge Management Series for Health 2026,"<span>Publications</span>

            <div class=""field field--name-field-cover field--type-image field--label-hidden field--item"">  <img alt=""South Sudan: Knowledge Management Series for Health 2026"" class=""img-responsive"" height=""115"" src=""https://www.afro.who.int/sites/default/files/2026-01/Profile%20.png"" width=""390"" />

</div>
      
<span><span>atema@who.int</span></span>

<span><time datetime=""2026-01-21T09:33:15+01:00"" title=""Wednesday, 21 January, 2026 - 09:33"">Wed, 21/01/2026 - 09:33<",https://www.afro.who.int/countries/south-sudan/publication/south-sudan-knowledge-management-series-health-2026,"Wed, 21 Jan 2026 08:33:15 +0000",,,['health'],2,2026-01-26 10:25,True
Global Fund Updates,foundation,The End-term Evaluation of the Global Fund’s COVID-19 Response Mechanism and its Contribution to the Strengthening of Sustainable Health Systems and Pandemic Preparedness,The Evaluation and Learning Office of the Global Fund is launching the request for proposals (RFP) for the end-term evaluation of the Global Fund’s COVID-19 Response Mechanism (C19RM) and its contribution to the strengthening of sustainable health systems and pandemic preparedness.,https://www.theglobalfund.org/en/updates/2025/2025-08-04-end-term-evaluation-covid-19-response-mechanism/,"Mon, 04 Aug 2025 12:00:00 GMT",,,"['education', 'health']",2,2026-01-26 10:26,True
Alliance for a Green Revolution in Africa (AGRA),foundation,AGRA Calls for a Farmer-First Climate Breakthrough at COP30 – with youth voices at the Center,"BELEM, BRAZIL — November 10th, 2025: As the UN Climate Conference (COP30) also knows as the “implementation COP” and the &#8220;COP of Truth&#8221; opens in Belém, AGRA is calling for a decisive shift from talk to action with ambition and urgency, urging a farmer-first breakthrough that puts soils, youth, and food systems at the center [&#8230;]",https://agra.org/news/agra-calls-for-a-farmer-first-climate-breakthrough-at-cop30-with-youth-voices-at-the-center/?utm_source=rss&utm_medium=rss&utm_campaign=agra-calls-for-a-farmer-first-climate-breakthrough-at-cop30-with-youth-voices-at-the-center,"Sun, 09 Nov 2025 17:02:45 +0000",,,"['agriculture', 'food_security', 'climate']",2,2026-01-26 10:28,True
